李峤	风
杜甫	月夜忆舍弟
杜甫	孤雁
杜甫	登岳阳楼
杜甫	春望
杜甫	赠花卿
杜甫	江南逢李龟年
杜甫	江畔独步寻花七绝句
杜甫	绝句二首（其一）
杜甫	春夜喜雨
杜甫	绝句四首（其三）
李白	渌水曲
李白	玉阶怨
李白	怨情
李白	九月十日即事
李白	夏日山中
李白	夜宿山寺
李白	劳劳亭
李白	子夜吴歌·秋歌
李白	独坐敬亭山
李白	秋浦歌十七首
李白	赠汪伦
李白	望庐山瀑布
李白	古朗月行
李白	静夜思
薛道衡	夏晚诗
庾信	重别周尚书
谢脁	王孙游
吴均	山中杂诗
无名氏	敕勒歌
曹植	七步诗
两汉乐府	江南
无名氏	国风·王风·采葛
苏轼	江城子·乙卯正月二十日夜记梦
杜甫	赠李白
白居易	山泉煎茶有怀
李商隐	碧城三首·其一
曹雪芹	咏菊
苏轼	江城子·密州出猎
李煜	浪淘沙令
韦庄	菩萨蛮（其二）
苏轼	定风波
晏几道	临江仙
柳永	蝶恋花·伫倚危楼风细细
欧阳修	踏莎行
欧阳修	蝶恋花
晏殊	浣溪沙·一曲新词酒一杯
范仲淹	渔家傲·秋思
杨匏安	示狱友
杨匏安	寄小梅
岳飞	满江红
于谦	石灰吟
文天祥	过零丁洋
毛泽东	长征
毛泽东	沁园春·长沙
毛泽东	沁园春·雪
毛泽东	卜算子·咏梅
王冕	墨梅
文嘉	明日歌
惠能	菩提偈（其三）
陆游	钗头凤
崔护	题都城南庄
王翰	凉州词二首·其一
黄巢	不第后赋菊
无名氏	国风·卫风·氓
李之仪	卜算子
苏轼	水调歌头·快哉亭作
荆轲	易水歌
常建	题破山寺后禅院
毛泽东	西江月·秋收起义
毛泽东	致彭德怀同志
无名氏	哥舒歌
李白	蜀道难
王维	酌酒与裴迪
杜甫	观公孙大娘弟子舞剑器行
唐寅	桃花庵歌
白居易	紫薇花
曹雪芹	葬花吟
白居易	花非花
秦观	鹊桥仙
李白	梦游天姥吟留别
卓文君	白头吟
岳飞	小重山
刘长卿	送灵澈上人
郑板桥	竹石
陈毅	青松
张孝祥	西江月·阻风三峰下
范仲淹	苏幕遮·怀旧
仓央嘉措	不负如来不负卿
李清照	鹧鸪天·寒日萧萧上锁窗
刘基	薤露歌
陈子龙	渡易水
李白	清平调（其一）
林升	题临安邸
元好问	同儿辈赋未开海棠二首
李煜	破阵子·四十年来家国
辛弃疾	破阵子·为陈同甫赋壮词以寄之
朱熹	观书有感
辛弃疾	太常引·建康中秋夜为吕叔潜赋
陆游	秋夜将晓出篱门迎凉有感（其二）
陆游	示儿
陆游	游山西村
陆游	冬夜读书示子聿
苏轼	水调歌头·明月几时有
王延彬	哭徐夤
牛希济	奉诏赋蜀主降唐
宋之问	渡汉江
杨慎	临江仙
宋之问	题大庾岭北驿
戴叔伦	除夜宿石头驿
钱起	省试湘灵鼓瑟
岑参	碛中作
岑参	走马川行奉送封大夫出师西征
岑参	白雪歌送武判官归京
王勃	仲春郊外
王勃	滕王阁
崔颢	黄鹤楼
张若虚	春江花月夜
高适	塞上听吹笛
张九龄	望月怀远
韦应物	简卢陟
李贺	李凭箜篌引
李贺	雁门太守行
元稹	离思·其四
韩愈	左迁至蓝关示侄孙湘
刘禹锡	酬乐天咏老见示
刘禹锡	赏牡丹
白居易	秋雨夜眠
白居易	长恨歌
白居易	琵琶行
白居易	钱塘湖春行
孟浩然	田家元日
孟浩然	早寒江上有怀
孟浩然	夏日南亭怀辛大
杜牧	赠别
杜牧	泊秦淮
李商隐	无题
杜甫	月夜
刘禹锡	石头城
杜甫	石壕吏
杜甫	茅屋为秋风所破歌
杜甫	闻官军收河南河北
李白	将进酒
李白	鹦鹉洲
辛弃疾	南乡子·登京口北固亭有怀
李白	登金陵凤凰台
陈子昂	登幽州台歌
沈约	夜夜曲·河汉纵且横
辛弃疾	咏雪
纳兰性德	木兰词·拟古决绝词柬友
无名氏	木兰诗
陶渊明	移居二首·其二
陶渊明	归园田居（其三）
李白	侠客行
曹植	白马篇
曹操	短歌行二首（其一）
无名氏	陌上桑
无名氏	小雅·白驹
无名氏	小雅·鹤鸣
无名氏	小雅·采薇
无名氏	国风·秦风·蒹葭
无名氏	国风·魏风·硕鼠
无名氏	国风·邶风·凯风
无名氏	国风·召南·甘棠
冯延巳	谒金门·风乍起
孟浩然	过故人庄
孟浩然	望洞庭湖赠张丞相
孟浩然	初秋
杜牧	赤壁
杜牧	江南春
杜牧	题乌江亭
李商隐	贾生
李商隐	夜雨寄北
王维	观猎
杜牧	寄扬州韩绰判官
李商隐	锦瑟
王维	送沈子归江东/送沈子福归江东
李益	夜上受降城闻笛
杜甫	旅夜书怀
杜甫	绝句漫兴九首（其五）
杜甫	蜀相
杜甫	登高
杜甫	望岳
李白	上李邕
李白	送友人
李白	塞下曲六首
李白	客中行
李白	山中与幽人对酌
李白	月下独酌四首
李白	行路难三首
李白	黄鹤楼送孟浩然之广陵
李白	闻王昌龄左迁龙标遥有此寄
杨广	野望
徐陵	关山月二首
王籍	入若耶溪
陶渊明	杂诗十二首
陶渊明	归园田居（其一）
陶渊明	饮酒（其五）
陶渊明	读山海经（其十）
阮籍	咏怀八十二首（其七十九）
曹操	步出夏门行·其四·龟虽寿
曹操	步出夏门行·其一·观沧海
无名氏	上邪
无名氏	十五从军征
无名氏	国风·豳风·伐柯
无名氏	国风·郑风·风雨
无名氏	国风·卫风·河广
无名氏	国风·秦风·无衣
无名氏	国风·郑风·子衿
无名氏	国风·卫风·木瓜
杨万里	舟过安仁
范成大	四时田园杂兴
纳兰性德	浣溪沙
曾几	三衢道中
卢梅坡	雪梅（其一）
陈师道	绝句·书当快意读易尽
黄庭坚	鄂州南楼书事·其一
苏轼	春夜
苏轼	东栏梨花
张俞	蚕妇
王令	送春
程颢	春日偶成
王安石	江上
司马光	居洛初夏作
曾巩	咏柳
苏舜钦	题花山寺壁
欧阳修	游龙门分题十五首
苏轼	题西林壁
苏轼	六月二十七日望湖楼醉书（其一）
王安石	书湖阴先生壁二首
王安石	泊船瓜洲
李煜	开元乐
骆宾王	夕次蒲类津
骆宾王	在军登城楼
张籍	秋思
张继	枫桥夜泊
岑参	送人赴安西
王勃	送杜少府之任蜀州
卢纶	塞下曲
高适	别董大（其一）
贾岛	宿山寺
贾岛	题李凝幽居
韦应物	滁州西涧
王昌龄	闺怨
王昌龄	从军行
温庭筠	商山早行
李贺	南园十三首（其五）
元稹	闻乐天授江州司马
元稹	菊花
柳宗元	零陵早春
柳宗元	酬曹侍御过象县见寄
韩愈	早春呈水部张十八员外二首（其一）
刘禹锡	浪淘沙
刘禹锡	元和十一年自朗州召至京戏赠看花诸君子/玄都观桃花
刘禹锡	浪淘沙·九曲黄河万里沙
刘禹锡	酬乐天扬州初逢席上见赠
刘禹锡	秋词（其一）
白居易	夜筝
白居易	晚秋闲居
白居易	村夜
白居易	新秋
白居易	白云泉
白居易	衰荷
白居易	对酒
白居易	暮江吟
白居易	大林寺桃花
王应麟	三字经
李毓秀	弟子规
袁枚	所见
叶绍翁	夜书所见
刘禹锡	望洞庭
王昌龄	采莲曲
脱脱	司马光
韩非	守株待兔
无名氏	精卫填海
无名氏	王戎不取道旁李
杨万里	宿新市徐公店
辛弃疾	清平乐·村居
无名氏	囊萤夜读
祝穆	铁杵磨针
林杰	乞巧
龚自珍	己亥杂诗
纳兰性德	长相思
张志和	渔歌子·西塞山前白鹭飞
孔子	论语·公冶长篇·第十五章
朱熹	读书有三到
曾国藩	谈读书
范成大	四时田园杂兴六十首·其三十一·夏日十二绝
杨万里	稚子弄冰
雷震	村晚
虞世南	蝉
郑思肖	寒菊
韩非	矛与盾
刘义庆	杨氏之子
辛弃疾	西江月·夜行黄沙道中
朱熹	春日
吕不韦	伯牙鼓琴
苏轼	书戴嵩画牛
韩翃	寒食
两汉乐府	古诗十九首·迢迢牵牛星
王建	十五夜望月寄杜郎中
张湛	列子·汤问·学弈
张湛	列子·汤问·两儿辩日
王观	卜算子·送鲍浩然之浙东
苏轼	浣溪沙·游蕲水清泉寺
黄庭坚	清平乐·春归何处
王湾	次北固山下
马致远	越调·天净沙·秋思
李清照	武陵春
岑参	行军九日思长安故园
陆游	十一月四日风雨大作（其二）
谭嗣同	潼关
岑参	逢入京使
韩愈	晚春二首（其一）
杨万里	过松源晨炊漆公店
赵师秀	约客
王绩	野望
李白	渡荆门送别
李清照	渔家傲
无名氏	古诗十九首·庭中有奇树
刘桢	赠从弟
曹植	泰山梁甫行
欧阳修	采桑子
朱敦儒	相见欢·金陵城上西楼
无名氏	国风·周南·关雎
白居易	卖炭翁
无名氏	国风·邶风·式微
刘长卿	长沙过贾谊宅
许浑	咸阳城东楼
秦观	行香子·树绕村庄
辛弃疾	丑奴儿·书博山道中壁
辛弃疾	破阵子·掷地刘郎玉斗
秋瑾	满江红·小住京华
张养浩	山坡羊·潼关怀古
文天祥	南安军
夏完淳	别云间
张养浩	山坡羊·骊山怀古
王磐	朝天子·咏喇叭
陈与义	临江仙·夜登小阁忆洛中旧游
柳永	雨霖铃·秋别
周邦彦	苏幕遮
李清照	声声慢
屈原	楚辞·离骚
无名氏	古诗十九首·涉江采芙蓉
高适	燕歌行
杜甫	客至
柳永	望海潮
王安石	桂枝香·金陵怀古
苏轼	念奴娇·赤壁怀古
陆游	临安春雨初霁
张孝祥	念奴娇·过洞庭
辛弃疾	永遇乐·京口北固亭怀古
辛弃疾	菩萨蛮·书江西造口壁
辛弃疾	青玉案·元夕
刘克庄	贺新郎·九日
姜夔	扬州慢
王实甫	长亭送别
黄庭坚	登快阁
荀子	荀子·解蔽第二十一
两汉乐府	古诗为焦仲卿妻作·孔雀东南飞
杜甫	秋兴八首（其一）
杜甫	咏怀古迹（其三）
李商隐	马嵬二首（其一）
关汉卿	窦娥冤·滚绣球
辛弃疾	水龙吟·登建康赏心亭
李清照	醉花阴
